Date,Time,F1,F2,F3,F4,F5,F6,F7,Top Tank,P1,P2,P3,Unknown,Bottom Tank
07-07-2020,15:27:08,-0.016592,-0.07697799999999999,-0.01229,-0.016672,-1.23217,3.132614,-0.006097,0.31011500000000003,-637.141342,2.263048,812.6526150000001,-12.805734,0.5065850000000001
07-07-2020,15:27:09,-0.01661,-0.014542,-0.011115,-0.017353,-1.233535,3.136659,-0.007927,0.308685,-637.1288099999999,3.2455220000000002,812.373579,-12.236383,0.507323
07-07-2020,15:27:10,-0.016766999999999997,-0.078172,-0.011701999999999999,-0.015628,-1.236688,3.130134,-0.008524,0.310479,-637.122962,2.586779,802.088511,-12.458192,0.507907
07-07-2020,15:27:11,-0.020581,-0.075883,-0.014119999999999999,-0.016375999999999998,-1.233544,3.132888,-0.009737,0.308569,-637.146354,2.992802,810.936209,-12.824113,0.506838
07-07-2020,15:27:12,-0.015747,-0.014303999999999999,-0.013803,-0.014762,-1.237858,3.1277470000000003,-0.008631999999999999,0.30661700000000003,-637.137164,1.86162,810.430352,-12.553432,0.506567
07-07-2020,15:27:13,-0.015794,-0.015786,-0.013942,-0.016592,-1.235275,3.129982,-0.010799,0.307789,-637.128392,1.992784,803.621538,-13.055112,0.5071439999999999
07-07-2020,15:27:14,-0.013897,-0.015036,-0.015475999999999998,-0.012443000000000001,-1.236248,3.136143,-0.006093,0.309091,-637.120456,2.159871,811.942911,-12.871733,0.505848
07-07-2020,15:27:15,-0.013507,-0.016203,-0.00978,-0.012787999999999999,-1.2415399999999999,3.1358099999999998,-0.011477,0.30866,-637.145519,3.230902,804.427735,-12.42185,0.506467
07-07-2020,15:27:16,-0.021435,-0.016971,-0.013138999999999998,-0.016096,-1.246138,3.127897,-0.008987,0.309312,-637.1467719999999,3.2246360000000003,808.014685,-12.586014,0.505066
07-07-2020,15:27:16,-0.015325,-0.07451,-0.014941,-0.015007,-1.242332,3.137836,-0.010722,0.309104,-637.1321519999999,3.322382,799.511605,-12.604393,0.5061680000000001
07-07-2020,15:27:17,-0.018505,-0.08236399999999999,-0.014752000000000001,-0.014609,-1.24251,3.1342939999999997,-0.008542000000000001,0.31149699999999997,-637.152202,3.299407,801.6018690000001,-12.600216,0.505775
07-07-2020,15:27:18,-0.018042,-0.08187,-0.013165999999999999,-0.01627,-1.245135,3.136632,-0.009065,0.313789,-637.148025,2.382933,805.46326,-12.209649,0.504225
07-07-2020,15:27:19,-0.0163,-0.081971,-0.012229,-0.016183000000000003,-1.242725,3.145458,-0.01183,0.31100300000000003,-637.116696,3.301078,816.567056,-12.41642,0.505128
07-07-2020,15:27:20,-0.016462,-0.07940499999999999,-0.012240000000000001,-0.013902000000000001,-1.2298129999999998,3.139016,-0.008351,0.310684,-637.124215,2.1815919999999998,800.265587,-12.629456,0.5055109999999999
07-07-2020,15:27:21,-0.017097,-0.07571599999999999,-0.018141,-0.015062,-1.231175,3.14129,-0.009878,0.311292,-637.1271389999999,2.001138,809.22398,-13.241414,0.504416
07-07-2020,15:27:22,-0.019653999999999998,-0.078411,-0.014943999999999999,-0.018372,-1.229662,3.13632,-0.008006000000000001,0.31349099999999996,-637.145936,2.19663,803.724297,-11.730944000000001,0.504514
07-07-2020,15:27:23,-0.016643,-0.079596,-0.014773,-0.013682,-1.234182,3.1458619999999997,-0.008992,0.313172,-637.118785,2.184934,812.6288049999999,-12.814924000000001,0.503363
07-07-2020,15:27:24,-0.019484,-0.078307,-0.016984,-0.014613,-1.229314,3.140186,-0.005347,0.310272,-637.115861,2.851613,807.567308,-12.719266000000001,0.50347
07-07-2020,15:27:25,-0.016796000000000002,-0.073399,-0.010231,-0.016596,-1.228409,3.1451130000000003,-0.010228000000000001,0.314477,-637.109595,2.198719,808.452036,-13.11401,0.503344
07-07-2020,15:27:26,-0.018267,-0.08057,-0.010194,-0.012553,-1.2308299999999999,3.13991,-0.01154,0.31405500000000003,-637.14886,3.003245,802.713836,-13.309085000000001,0.5029060000000001
07-07-2020,15:27:26,-0.014405000000000001,-0.076682,-0.014275,-0.016857,-1.230277,3.139161,-0.0065980000000000006,0.314184,-637.137164,2.582602,806.3755570000001,-11.729691,0.502744
07-07-2020,15:27:27,-0.018022,-0.07310499999999999,-0.014383000000000002,-0.014916999999999998,-1.2317879999999999,3.1406099999999997,-0.00836,0.31492800000000004,-637.14719,2.533311,815.4108110000001,-12.848759,0.501663
07-07-2020,15:27:28,-0.018966999999999998,-0.014667,-0.016392,-0.014465,-1.233052,3.135999,-0.010036,0.31497600000000003,-637.11962,3.684126,815.6911,-12.304889,0.502382
07-07-2020,15:27:29,-0.014478999999999999,-0.013085,-0.010939,-0.013406,-1.231962,3.133942,-0.010653,0.316637,-637.141759,3.3173690000000002,799.448947,-11.387578999999999,0.502253
07-07-2020,15:27:30,-0.011895000000000001,-0.018841,-0.013446000000000001,-0.014827000000000002,-1.234898,3.148104,-0.007069,0.315078,-637.137164,3.014106,809.846799,-12.48409,0.501125
07-07-2020,15:27:31,-0.019566,-0.013412,-0.016037,-0.016618,-1.239927,3.133588,-0.007608,0.315784,-637.1317339999999,2.280174,801.776893,-12.402635,0.501897
07-07-2020,15:27:32,-0.018008,-0.016104,-0.012972,-0.013113999999999999,-1.239283,3.13849,-0.008637,0.319889,-637.136747,3.438508,804.133244,-11.791095,0.501269
07-07-2020,15:27:33,-0.016926,-0.016181,-0.013483000000000002,-0.016656999999999998,-1.243783,3.126881,-0.00863,0.315224,-637.153455,2.230048,812.950866,-12.550508,0.500156
07-07-2020,15:27:34,-0.019234,-0.012797,-0.017661000000000003,-0.018251,-1.2417850000000001,3.140196,-0.009720999999999999,0.31748699999999996,-637.132569,3.1101810000000003,806.533455,-12.512078,0.499958
07-07-2020,15:27:35,-0.018563,-0.014685,-0.014138999999999999,-0.013529,-1.241991,3.130667,-0.011656999999999999,0.321139,-637.1334049999999,3.601836,801.984917,-12.609824,0.500854
07-07-2020,15:27:36,-0.017647,-0.016176,-0.014241,-0.01251,-1.240348,3.1313470000000003,-0.010397,0.317542,-637.121709,3.045435,809.8526469999999,-13.045086999999999,0.500315
07-07-2020,15:27:36,-0.018352,-0.016753,-0.015424,-0.015722999999999997,-1.2407540000000001,3.138536,-0.005123,0.321802,-637.159721,2.186187,803.250604,-12.334964999999999,0.499759
07-07-2020,15:27:37,-0.018331999999999998,-0.015738,-0.014786,-0.016298,-1.238841,3.138325,-0.011235,0.318594,-637.144266,2.767652,806.241887,-13.350857000000001,0.501103
07-07-2020,15:27:38,-0.01652,-0.015783000000000002,-0.011859999999999999,-0.013035,-1.240475,3.137086,-0.007442,0.323229,-637.141759,3.8148720000000003,806.557265,-12.131117999999999,0.49938599999999994
07-07-2020,15:27:39,-0.014796,-0.016533000000000003,-0.015216999999999998,-0.017176,-1.237947,3.143663,-0.0070420000000000005,0.317244,-637.132987,2.9059169999999996,813.969264,-13.559298000000002,0.49933900000000003
07-07-2020,15:27:40,-0.017445,-0.013899000000000002,-0.013500999999999999,-0.013766999999999998,-1.241731,3.14226,-0.008614,0.319632,-637.1342400000001,3.3156980000000003,814.531513,-13.188364000000002,0.49987
07-07-2020,15:27:41,-0.017478,-0.016019,-0.012303,-0.014214,-1.233028,3.142904,-0.008147,0.32205700000000004,-637.124633,2.925967,803.762309,-12.661621,0.500612
07-07-2020,15:27:42,-0.019465,-0.012983000000000001,-0.014957,-0.013638999999999998,-1.2379719999999999,3.1522040000000002,-0.010305,0.32163200000000003,-637.1304809999999,3.349534,807.469144,-12.380496,0.49762
